((6.5, 6.666666666666667), (6.0, 6.0), (7.25, 7.0), (6.25, 7.0))
((7.333333333333333, 1.5), (7.0, 0.75), (8.0, 1.75), (7.0, 2.0))
((8.666666666666666, 1.1666666666666667), (8.0, 1.75), (9.0, 0.25), (9.0, 1.5))
((2.0, 8.166666666666666), (1.5, 8.25), (2.0, 7.5), (2.5, 8.75))
((9.666666666666666, 6.0), (9.5, 9.0), (9.5, 4.0), (10.0, 5.0))
((1.0, 8.833333333333334), (0.5, 8.5), (1.5, 8.25), (1.0, 9.75))
((2.6666666666666665, 1.3333333333333333), (1.0, 1.5), (3.0, 0.5), (4.0, 2.0))
((8.766666730244955, 2.8333333333333335), (8.150000095367432, 4.25), (9.0, 1.5), (9.150000095367432, 2.75))
((6.666666666666667, 9.5), (5.0, 9.25), (9.0, 9.5), (6.0, 9.75))
((7.600000063578288, 6.5), (7.25, 7.0), (7.650000095367432, 5.75), (7.900000095367432, 6.75))
((9.100000063578287, 4.5), (8.650000095367432, 6.75), (9.150000095367432, 2.75), (9.5, 4.0))
((8.266666730244955, 7.166666666666667), (7.900000095367432, 6.75), (8.650000095367432, 6.75), (8.25, 8.0))
((5.166666666666667, 7.333333333333333), (4.0, 7.0), (6.25, 7.0), (5.25, 8.0))
((9.333333333333334, 9.0), (9.5, 9.5), (9.0, 8.5), (9.5, 9.0))
((6.0, 3.3333333333333335), (6.0, 4.5), (5.5, 2.0), (6.5, 3.5))
((4.333333333333333, 8.833333333333334), (2.5, 8.75), (5.5, 8.5), (5.0, 9.25))
((6.166666666666667, 8.333333333333334), (5.5, 8.5), (5.25, 8.0), (7.75, 8.5))
((4.666666666666667, 0.5), (3.0, 0.5), (4.0, 0.25), (7.0, 0.75))
((5.666666666666667, 5.0), (6.0, 4.5), (6.0, 6.0), (5.0, 4.5))
((1.0, 3.3333333333333335), (0.5, 3.5), (1.0, 1.5), (1.5, 5.0))
((4.333333333333333, 2.3333333333333335), (3.5, 3.0), (4.0, 2.0), (5.5, 2.0))
((0.3333333333333333, 5.666666666666667), (0.5, 8.5), (0.0, 5.0), (0.5, 3.5))
((4.666666666666667, 4.333333333333333), (4.5, 3.5), (5.0, 4.5), (4.5, 5.0))
((9.0, 9.333333333333334), (8.5, 9.0), (9.5, 9.5), (9.0, 9.5))
